Transaction ID,MTCN,Sender Name,Receiver Name,PEP Related,Sender Currency,Receiver Currency,KYC Status,Transaction Type,Amount,Channel,Risk Rating,Timestamp,Sender Age,Sender Country,Receiver Country,Customer Address
TXN1000042,51464269.0,Lucas Anderson,Mary Jackson,No,GBP,EUR,Verified,INTERNAL,7531.9,Branch Counter,Medium,2026-12-01 03:41,19,USA,Germany,"6143 View Rd, Mumbai"
TXN1000043,40281491.0,Zayn Velez,Fatima Velez,TRUE,JPY,CAD,,EXTERNAL,3939.8,ATM,High,2024-08-28 17:43,77,South Africa,Brazil,"6361 Pine Rd, New York"
TXN1000044,95282470.0,Amir Anderson,Priya Rostova,No,AUD,EUR,Pending,Outer-transaction,5835.8,Branch Counter,Critical,2024-05-17 15:24,61,Canada,France,"149 Main St, Toronto"
TXN1000045,69509870.0,Thomas Davis,Zayn Lopez,No,ZAR,CAD,KYC,outer-transaction,1384.18,Web Portal,Low,2026-01-03 06:37,25,Canada,UAE,"4921 Cedar Ln, Toronto"
TXN1000046,41272553.0,Richard Dubois,Michael Silva,0,USD,AED,,Inter-transaction,1985.73,Branch Counter,Medium,2025-02-12 04:02,64,India,Australia,"9765 View Rd, Paris"
TXN1000047,58592048.0,Charles Jackson,Patricia Anderson,No,CHF,USD,KYC,Inter-transaction,14978.82,ATM,Critical,2022-10-12 11:30,52,South Africa,India,"7946 Maple Dr, New York"
TXN1000048,94970119.0,Christopher Moore,Elena Hernandez,No,CHF,JPY,,EXTERNAL,13166.82,Agent Network,Medium,2021-03-21 14:41,53,UAE,Australia,"3865 Broadway, Paris"
TXN1000049,99269266.0,David Lopez,Michael Velez,0,EUR,EUR,Pending,Inter-transaction,8801.11,Agent Network,High,2026-03-18 19:18,67,UAE,USA,"9841 Broadway, Toronto"
TXN1000050,51936181.0,Susan Brown,Christopher Taylor,No,ZAR,SGD,Pending,Outer-transaction,12110.25,Agent Network,Low,2023-11-02 15:59,21,Brazil,USA,"8419 View Rd, Mumbai"
TXN1000051,98227303.0,Joseph Williams,Michael Al-Sayed,No,USD,EUR,,inter-transaction,11654.77,Agent Network,Low,2025-11-12 10:39,19,Germany,South Africa,"4955 Maple Dr, Mumbai"
TXN1000052,65590800.0,David Miller,,No,AUD,EUR,Unverified,INTERNAL,831.18,Web Portal,High,2020-09-18 02:22,23,UK,UK,"6011 Oak Ave, Paris"
TXN1000053,40884937.0,Charles Moore,Amir Velez,N,EUR,aud,Pending,outer-transaction,8605.26,ATM,High,2025-01-22 06:22,71,UAE,France,"2861 Main St, New York"
TXN1000054,68614462.0,Zayn Brown,Elizabeth Wilson,No,JPY,EUR,Pending,EXTERNAL,1719.26,Agent Network,Medium,2022-06-15 06:45,21,South Africa,UAE,"9707 Oak Ave, Dubai"
TXN1000055,30517835.0,Jean-Pierre Dubois,Sanjay Williams,No,ZAR,SGD,,EXTERNAL,14798.11,Branch Counter,High,2022-12-30 01:41,71,Canada,Australia,"5888 Oak Ave, New York"
TXN1000056,71974027.0,Thomas Johnson,Mary Lopez,N,EUR,ZAR,Pending,EXTERNAL,13439.19,ATM,Medium,2026-03-16 18:57,80,UAE,India,"617 Oak Ave, Mumbai"
TXN1000057,21318464.0,Charles Nair,Linda Johnson,No,SGD,SGD,Verified,EXTERNAL,8972.31,Branch Counter,Low,2024-04-05 08:47,35,Canada,USA,"9633 Main St, Mumbai"
TXN1000058,,Robert Jackson,Marta Jones,0,AED,ZAR,Unverified,EXTERNAL,11877.01,Web Portal,Low,2020-04-01 18:17,61,UAE,USA,"3902 Main St, Sydney"
TXN1000059,28463709.0,Michael Williams,Barbara Malik,N,JPY,jpy,Non-KYC,INTERNAL,5657.03,Web Portal,Medium,2020-05-06 08:47,51,UK,UK,"7262 Pine Rd, London"
TXN1000060,70254091.0,Elizabeth Moore,Elizabeth Martinez,1,SGD,INR,Unverified,INTERNAL,7916.62,Web Portal,Medium,2020-03-20 12:41,79,France,India,"6341 Main St, Toronto"
TXN1000061,48260510.0,,Linda Rodriguez,No,JPY,GBP,KYC,outer-transaction,808.32,Agent Network,High,2025-01-21 19:13,31,UAE,India,"8499 Oak Ave, Sydney"
TXN1000062,28468304.0,  MARY MARTINEZ ,Priya Khan,No,GBP,BRL,Non-KYC,INTERNAL,14103.99,Agent Network,Critical,2022-09-09 11:24,65,South Africa,UK,"6409 View Rd, London"
TXN1000063,,Nancy Moore,John Nair,No,INR,BRL,,EXTERNAL,1293.35,Branch Counter,Low,2022-07-04 18:38,32,UAE,USA,"1618 View Rd, Sydney"
TXN1000064,57928328.0,  LUCAS WILLIAMS ,Susan Davis,Yes,ZAR,EUR,,Outer-transaction,12457.45,ATM,Critical,2026-12-08 22:14,79,Germany,France,"2700 View Rd, Sydney"
TXN1000065,52358553.0,Priya Martinez,Charles Gonzalez,TRUE,JPY,SGD,,inter-transaction,4105.52,Branch Counter,Critical,2021-11-24 15:26,57,UK,Germany,"3654 Broadway, London"
TXN1000066,79696025.0,David Silva,Robert Al-Sayed,No,AUD,CHF,Verified,inter-transaction,6694.28,ATM,Medium,2020-01-25 07:09,70,South Africa,Germany,"2949 View Rd, Toronto"
TXN1000067,17698469.0,Robert Velez,Sanjay Gonzalez,No,BRL,ZAR,Non-KYC,Inter-transaction,3547.57,Branch Counter,High,2020-06-04 03:50,41,India,UK,"1842 Pine Rd, London"
TXN1000068,81062902.0,Susan Gonzalez,Richard Nair,No,EUR,USD,Verified,EXTERNAL,6699.63,Agent Network,High,2024-12-17 18:27,43,South Africa,India,"7619 View Rd, New York"
TXN1000069,52894344.0,Marta Lopez,Elena Williams,No,AED,AED,Pending,Outer-transaction,1829.22,Web Portal,Medium,2024-04-02 20:58,77,Germany,UAE,"4295 Pine Rd, Sydney"
TXN1000070,18824561.0,Barbara Gonzalez,Elena Al-Sayed,No,AUD,AUD,,INTERNAL,5174.28,Agent Network,Medium,2025-05-20 14:13,58,France,UK,"2405 Cedar Ln, Sydney"
TXN1000071,40262109.0,Susan Taylor,Carlos Martinez,N,AED,INR,Pending,EXTERNAL,2537.85,Agent Network,Medium,2024-09-29 00:47,46,UK,France,"9380 Pine Rd, London"
TXN1000072,16101779.0,Sanjay Dubois,Christopher Rodriguez,No,CHF,AUD,Verified,outer-transaction,3680.72,ATM,High,2022-12-16 09:18,32,India,UK,"6509 Cedar Ln, Paris"
TXN1000073,52857920.0,Fatima Malik,Susan Gonzalez,No,CAD,JPY,KYC,Inter-transaction,4360.28,ATM,Critical,2024-06-16 21:02,62,Germany,Canada,"4857 Pine Rd, Mumbai"
TXN1000074,76942394.0,  CARLOS MARTINEZ ,Sarah Smith,No,AUD,JPY,Pending,EXTERNAL,10091.08,Branch Counter,Low,2020-01-19 04:40,82,Germany,Australia,"1371 View Rd, Sydney"
TXN1000075,36126192.0,Susan Moore,Barbara Williams,No,SGD,JPY,Unverified,inter-transaction,11925.51,Branch Counter,High,2023-11-08 17:10,26,USA,India,"8901 View Rd, New York"
TXN1000076,71335966.0,Michael Martin,Carlos Taylor,No,CHF,CAD,Pending,INTERNAL,7352.8,Agent Network,High,2023-05-01 15:01,18,UK,South Africa,"6224 Maple Dr, New York"
TXN1000077,94457912.0,John Martin,Sarah Rodriguez,1,CHF,CHF,Unverified,Outer-transaction,12326.7,Web Portal,Low,2026-04-03 11:53,25,South Africa,South Africa,"4496 Maple Dr, Paris"
TXN1000078,73297813.0,Zayn Malik,Fatima Al-Sayed,No,GBP,JPY,Non-KYC,outer-transaction,13682.74,Branch Counter,High,2023-11-11 05:42,80,Canada,India,"916 Main St, Sydney"
TXN1000079,48789478.0,Elena Miller,Elena Rostova,No,SGD,CAD,Pending,outer-transaction,13437.45,ATM,High,2020-10-03 07:43,28,France,France,"182 Main St, London"
TXN1000080,37121108.0,  AMIR MOORE ,,No,AED,GBP,Non-KYC,EXTERNAL,3500.22,Mobile App,Critical,2022-01-14 01:08,25,Canada,Canada,"2193 Oak Ave, Dubai"
TXN1000081,73847325.0,Sarah Nair,William Dubois,1,CAD,AED,,Inter-transaction,13699.31,Web Portal,Critical,2021-07-05 14:01,52,South Africa,Canada,"8467 View Rd, New York"
TXN1000082,11243818.0,Barbara Jackson,,0,CAD,AED,Pending,outer-transaction,4099.83,Mobile App,High,2023-03-22 00:09,52,South Africa,USA,"5037 Oak Ave, Toronto"
TXN1000083,35925669.0,Linda Martin,Zayn Nair,Y,AUD,JPY,Non-KYC,Inter-transaction,3919.17,Web Portal,Critical,2021-09-30 01:43,50,UK,Australia,"2201 Oak Ave, Toronto"
TXN1000084,72464258.0,Barbara Garcia,Joseph Velez,No,BRL,AED,Non-KYC,outer-transaction,2306.25,Agent Network,High,2020-08-24 22:07,22,South Africa,Germany,"1879 Pine Rd, Mumbai"
TXN1000085,89968863.0,Zayn Silva,Robert Taylor,No,brl,cad,Pending,INTERNAL,2256.29,Branch Counter,Critical,2022-09-24 04:53,58,USA,Brazil,"7394 Main St, Sydney"
TXN1000086,65757342.0,Thomas Jackson,Mary Moore,No,aed,brl,Unverified,inter-transaction,10508.77,Agent Network,Low,2025-10-03 00:46,45,India,France,"3776 Pine Rd, New York"
TXN1000087,,Carlos Gonzalez,Thomas Malik,0,AUD,AUD,KYC,Outer-transaction,14892.77,ATM,Medium,2025-06-26 05:43,24,South Africa,Brazil,"8189 Pine Rd, Sydney"
TXN1000088,43220503.0,Thomas Lopez,Michael Rodriguez,No,brl,EUR,Non-KYC,Outer-transaction,1018.69,Agent Network,Low,2023-12-30 07:44,29,Canada,Brazil,"4238 Main St, New York"
TXN1000089,17575790.0,Michael Taylor,Barbara Davis,N,BRL,CHF,Non-KYC,EXTERNAL,7823.55,ATM,High,2025-11-26 18:31,51,South Africa,India,"4117 Maple Dr, Mumbai"
TXN1000090,56226575.0,Sanjay Velez,Joseph Silva,No,BRL,AUD,Non-KYC,inter-transaction,12864.54,Web Portal,Critical,2023-04-22 00:42,50,USA,South Africa,"8660 Cedar Ln, Paris"
TXN1000091,70369365.0,,Robert Moore,Yes,INR,USD,Pending,EXTERNAL,10075.04,Web Portal,Critical,2023-10-23 19:32,65,UAE,South Africa,"1234 Maple Dr, Paris"
TXN1000092,74279671.0,Priya Davis,Elena Martin,Yes,AUD,INR,Verified,inter-transaction,7697.12,ATM,Critical,2025-06-29 07:31,40,UAE,Germany,"5219 Broadway, New York"
TXN1000093,29585415.0,John Rodriguez,Karen Souza,No,BRL,AUD,Pending,EXTERNAL,14152.53,Branch Counter,High,2023-05-06 04:16,79,Germany,India,"6236 View Rd, Mumbai"
TXN1000094,34702473.0,  PRIYA VOLKOV , karen nair   ,1,JPY,USD,Non-KYC,EXTERNAL,3479.19,Web Portal,Low,2023-10-26 07:56,54,France,Brazil,"2446 Oak Ave, Toronto"
TXN1000095,10887495.0,Karen Moore,Jessica Smith,No,BRL,AED,Non-KYC,Inter-transaction,13771.55,Agent Network,Medium,2021-01-07 09:33,61,Brazil,UAE,"8352 Oak Ave, Toronto"
TXN1000096,85833309.0,Elizabeth Rostova,Elizabeth Martinez,No,EUR,zar,Unverified,Inter-transaction,9554.85,Web Portal,Low,2024-02-29 08:55,52,India,South Africa,"4001 Oak Ave, New York"
TXN1000097,38375916.0,Carlos Malik,Elena Volkov,No,AED,USD,Non-KYC,inter-transaction,244.71,Web Portal,Medium,2026-02-26 22:34,82,Australia,France,"4526 Oak Ave, Dubai"
TXN1000098,28783850.0,Lucas Rostova,Fatima Williams,No,CAD,usd,Pending,outer-transaction,14534.12,Branch Counter,Low,2022-04-28 17:06,64,Germany,France,"9619 Broadway, London"
TXN1000099,93029219.0,Barbara Silva,Elizabeth Rostova,No,AED,GBP,KYC,Inter-transaction,14144.97,ATM,High,2023-09-07 14:52,20,France,USA,"1461 View Rd, Paris"
TXN1000100,84386123.0,Robert Martin,Nancy Silva,No,AUD,USD,Non-KYC,INTERNAL,7821.36,ATM,Medium,2026-05-11 21:19,18,UAE,UK,"4470 Maple Dr, Toronto"
TXN1000101,58469365.0,David Davis,Fatima Nair,No,CHF,inr,Unverified,inter-transaction,6608.94,ATM,Medium,2026-03-08 17:24,22,Canada,UAE,"2093 View Rd, New York"
TXN1000102,94946730.0,Sarah Jackson,Lucas Davis,No,AED,AUD,Pending,Inter-transaction,14295.54,ATM,Medium,2021-05-18 02:59,31,Australia,South Africa,"1114 Pine Rd, Dubai"
TXN1000103,42483531.0,David Velez,Michael Rostova,No,AUD,EUR,,outer-transaction,8159.24,Branch Counter,Low,2021-12-03 22:45,44,France,Canada,"790 View Rd, London"
TXN1000104,54506155.0,Lucas Wilson,Patricia Smith,No,INR,JPY,Unverified,EXTERNAL,8832.96,Agent Network,Medium,2025-09-20 23:33,26,France,South Africa,"6964 Main St, Mumbai"
TXN1000105,51861213.0,  RICHARD ANDERSON , lucas miller   ,No,CAD,SGD,,Inter-transaction,348.55,Branch Counter,Low,2020-11-10 13:21,32,Germany,USA,"7886 Main St, Paris"
TXN1000106,94524999.0,Linda Garcia,Sanjay Velez,No,USD,BRL,Non-KYC,inter-transaction,11287.36,Mobile App,Low,2026-07-04 10:47,59,Australia,France,"5588 Maple Dr, Sydney"
TXN1000107,62162278.0,Nancy Gonzalez,Christopher Brown,No,SGD,CHF,,Outer-transaction,4704.65,Web Portal,High,2022-11-06 07:38,68,UK,Brazil,"3012 View Rd, Mumbai"
TXN1000108,95295586.0,Karen Rostova,Priya Nair,0,GBP,JPY,Verified,Inter-transaction,7274.29,Web Portal,Critical,2020-10-09 10:34,80,Brazil,Canada,"4844 Oak Ave, Toronto"
TXN1000109,39598969.0,Barbara Johnson,David Davis,No,GBP,SGD,Verified,INTERNAL,12351.01,Branch Counter,Low,2020-09-14 16:45,69,UK,India,"2917 Cedar Ln, London"
TXN1000110,70362053.0,David Lopez,Zayn Khan,No,EUR,INR,Unverified,Outer-transaction,9246.11,Web Portal,Medium,2021-07-28 05:07,21,Australia,Australia,"4558 Pine Rd, Sydney"
TXN1000111,79043610.0,Carlos Velez,Amir Brown,No,AUD,USD,,inter-transaction,12428.94,ATM,Critical,2021-07-27 21:36,40,UK,Brazil,"9033 Oak Ave, Sydney"
TXN1000112,79204468.0,Fatima Rodriguez,Elena Souza,Y,SGD,SGD,Unverified,EXTERNAL,9965.52,Branch Counter,Low,2022-11-08 07:33,32,USA,Australia,"5838 Cedar Ln, Paris"
TXN1000113,75140950.0,Lucas Hernandez,Carlos Velez,N,USD,eur,Unverified,Inter-transaction,14877.66,ATM,Medium,2024-04-01 14:43,60,UAE,UAE,"7797 Oak Ave, Paris"
TXN1000114,97095388.0,Linda Johnson,Joseph Nair,No,BRL,INR,Pending,Outer-transaction,7796.47,ATM,Low,2021-02-26 16:32,46,USA,UK,"7929 Pine Rd, London"
TXN1000115,23747542.0,Patricia Hernandez,Susan Volkov,No,AUD,gbp,Non-KYC,outer-transaction,5274.3,Web Portal,Medium,2024-01-29 14:45,53,South Africa,Canada,"7452 Cedar Ln, Sydney"
TXN1000116,57182314.0,Jessica Hernandez,Lucas Jones,No,ZAR,EUR,KYC,EXTERNAL,13138.65,Web Portal,Medium,2023-10-28 19:53,30,UK,Germany,"8426 Cedar Ln, Toronto"
TXN1000117,89715904.0,Robert Taylor,Carlos Smith,TRUE,CAD,GBP,Unverified,Inter-transaction,260.17,Mobile App,Low,2022-01-27 15:28,49,South Africa,Canada,"8103 Maple Dr, Paris"
TXN1000118,66851305.0,Elena Gonzalez,Robert Nair,No,CHF,GBP,Pending,inter-transaction,5867.07,Mobile App,High,2023-01-09 08:32,76,Canada,South Africa,"7396 Broadway, Toronto"
TXN1000119,99399687.0,Fatima Velez,Fatima Garcia,No,BRL,GBP,,inter-transaction,2512.77,Web Portal,High,2024-04-23 16:28,45,India,France,"8412 Main St, Dubai"
TXN1000120,71095611.0,Charles Lopez,Mary Thomas,Y,GBP,CAD,,INTERNAL,48.5,Mobile App,Medium,2026-10-07 12:20,83,Canada,South Africa,"5203 Cedar Ln, Mumbai"
TXN1000121,98007006.0,Jessica Davis,Richard Davis,No,,CAD,Non-KYC,Outer-transaction,12067.03,Mobile App,Critical,2021-03-04 20:04,59,Australia,South Africa,"2132 Oak Ave, Sydney"
TXN1000122,85672859.0,Lucas Martinez,,No,CAD,CHF,Non-KYC,Outer-transaction,105.6,ATM,Low,2025-07-14 09:05,62,France,UAE,"2168 Oak Ave, Paris"
TXN1000123,51273379.0,Patricia Miller,Charles Davis,No,USD,GBP,,inter-transaction,6882.29,Mobile App,Low,2020-07-22 23:50,79,UAE,Brazil,"2768 Broadway, Sydney"
TXN1000124,45029610.0,Zayn Hernandez,Priya Silva,No,BRL,cad,Pending,Inter-transaction,2339.6,Web Portal,Critical,2026-02-21 12:00,74,UK,Germany,"902 Maple Dr, Mumbai"
TXN1000125,22136086.0,Linda Silva,Marta Martinez,N,brl,CHF,Verified,outer-transaction,7706.76,Branch Counter,High,2026-05-21 19:56,23,Germany,Germany,"295 Maple Dr, Sydney"
TXN1000126,26301180.0,John Johnson,Amir Dubois,TRUE,GBP,INR,Verified,Inter-transaction,336.78,Mobile App,Medium,2025-06-15 14:45,45,India,South Africa,"2430 Oak Ave, Paris"
TXN1000127,87025433.0,Jessica Khan,Fatima Gonzalez,No,AUD,ZAR,Non-KYC,Inter-transaction,9215.46,Agent Network,Medium,2026-02-21 07:09,45,Brazil,Australia,"8568 Cedar Ln, Paris"
TXN1000128,80573568.0,Elizabeth Nair,Lucas Moore,N,AUD,BRL,Unverified,inter-transaction,2705.44,Branch Counter,Medium,2020-11-02 08:48,61,Brazil,UAE,"4027 Main St, Mumbai"
TXN1000129,43266810.0,Marta Davis,David Moore,N,BRL,USD,Non-KYC,Outer-transaction,3555.9,Branch Counter,High,2024-08-14 08:02,47,Brazil,South Africa,"2691 Broadway, Mumbai"
TXN1000130,76065552.0,Karen Martinez,Linda Thomas,No,$,INR,Non-KYC,inter-transaction,10756.9,Branch Counter,Low,2020-01-14 10:11,79,UK,UK,"9863 View Rd, London"
TXN1000131,98870866.0,Joseph Jackson,Patricia Hernandez,No,GBP,,,INTERNAL,10406.47,Agent Network,High,2025-02-03 09:24,79,Brazil,France,"1300 Oak Ave, London"
TXN1000132,86884584.0,Joseph Malik,Jean-Pierre Jackson,No,CHF,CAD,Non-KYC,inter-transaction,11182.7,Web Portal,High,2025-05-15 16:48,18,USA,Brazil,"2954 Main St, New York"
TXN1000133,45596211.0,William Davis,Elena Williams,No,eur,BRL,Unverified,outer-transaction,5274.96,ATM,Low,2022-12-16 10:53,44,India,India,"9528 Cedar Ln, New York"
TXN1000134,45047967.0,Patricia Williams,Richard Garcia,Y,gbp,BRL,Unverified,EXTERNAL,474.59,Web Portal,Critical,2021-12-23 03:38,79,USA,UK,"1129 Pine Rd, Mumbai"
TXN1000135,98663948.0,Barbara Martinez,Elizabeth Brown,No,CHF,JPY,,EXTERNAL,9007.23,Web Portal,Low,2022-02-18 20:25,20,France,Australia,"2694 Broadway, Dubai"
TXN1000136,98723294.0,David Williams,Sanjay Moore,No,CAD,AUD,Verified,INTERNAL,933.97,Mobile App,Low,2023-05-18 13:38,44,India,Canada,"2572 View Rd, Mumbai"
